,html_url,name,functionality,core functionality,frameworks (others than JUCE),testing,language,SonarQube violations (SCP),"SonarQube quality gate status (passed,failed)",Header files,Compiled library files,Header files or compiled library files,Libraries,Comments,Issues type,Did the developers resolved the issue via a simple commit and push?,Did the developers resolved the issue via a PR?,Did the developers answered the issue?
77,https://github.com/RickBn/reDroidFlux,reDroidFlux,effect -  MIDI controlled ring modulator ,effect,,No,C++,cppcorectguideliness violated,Failed,Yes,No,Header files,,No,question,No,No,Yes
78,https://github.com/reillypascal/RSBrokenMedia,RSBrokenMedia,effect - stereo glitch,effect,,No,C,"Reliability C, 24.0% duplications",Passed,Yes,No,Header files,,No,bug,No,No,Yes
79,https://github.com/mpusch88/Externalizer,Externalizer,"effect - latency compensation, dry/wet control, and gain staging.",effect,,Yes,C++,,Passed,Yes,No,Header files,,No,,No,No,No
82,https://github.com/varlen/randstepfilter,randstepfilter,effect - randstepfilter,effect,iPlug 2,No,Python,,Passed,Yes,No,Header files,,Yes,,No,No,No
83,https://github.com/Emmet-Hayes/HayesPlugins,HayesPlugins,"effect - EQ, Compressor, Distortion, PitchShifter, a basic Delay, a tape Delay, an algorithmic Reverb, and a convolution Reverb.",effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
84,https://github.com/hansen-audio/gain-automation-plugin,gain-automation-plugin,effect - gain ,effect,,No,C++,Maintainability B,Passed,Yes,Yes,Both,,Yes,,No,No,No
85,https://github.com/Speechrezz/VibratoPlugin,VibratoPlugin,effect - vibrato,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
87,https://github.com/pardinensis/useless_reverb,useless_reverb,effect  - reverb,effect ,,No,C++,,Passed,Yes,Yes,Both,,No,,No,No,No
88,https://github.com/sharki13/stereoknob,stereoknob,effect - modify stereo proportion,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
89,https://github.com/samuelebh/Magic-Chorus,Magic-Chorus,effect - chorus,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
91,https://github.com/hsetlik/Octane,Octane,virtual instrument - Synthesizer wavetable,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,"enhancement, bug",No,No,No
92,https://github.com/p4thie/esc,esc,effect - ducker,effect,,No,Rust,Reliability E,Passed,No,No,,"Visualizer, AtomicF32, ViziaState, Ordering, Arc",Yes,,No,No,No
97,https://github.com/theuser27/Complex,Complex,effect - multi-lane spectral effects,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
99,https://github.com/ashokfernandez/DR-Filter,DR-Filter,effect - df filter,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
125,https://github.com/ptablas/M-S-Echottage,M-S-Echottage,effect - splitter,effect,,No,C++,,Passed,Yes,No,Header files,,No,question,No,No,No
126,https://github.com/rochen-sound-collective/modular_collection,modular_collection,effect - midi arpeggiator,effect,,Yes,Rust,,Passed,No,No,,cdylib,No,,No,No,No
127,https://github.com/silver-yar/ap_sampler,ap_sampler,virtual instrument  - sampler,virtual instrument ,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
128,https://github.com/toasty-ghost/ASE_KM_Caverb,ASE_KM_Caverb,effect - room reverb,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
129,https://github.com/tparker48/sherpa-synthesizer,sherpa-synthesizer,virtual instrument - synthesizer,virtual instrument,,Yes,C++,,Passed,Yes,No,Header files,,No,,No,No,No
131,https://github.com/astra137/opus-parvulum,opus-parvulum,effect,effect,,No,Rust,,Passed,No,No,,"cdylib, VST3, IPluginFactory, IPluginFactory2, IPluginFactory3, IID",No,,No,No,No
133,https://github.com/rklogan/Combiner,Combiner,effect ,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
134,https://github.com/suzumushi0/AudioQAM_source,AudioQAM_source,effect,effect,,No,C++,cppcorectguideliness violated,Failed,Yes,No,Header files,,Yes,,No,No,No
136,https://github.com/hx-ux/Bitcrushi,Bitcrushi,effect - chrusher,effect,,No,Python,,Passed,Yes,No,Header files,,Yes,,No,No,No
139,https://github.com/michael-truscott/DoomVst,DoomVst,effect - doom game,effect,,Yes,C,,Passed,Yes,No,Header files,,Yes,question,Yes,No,Yes
141,https://github.com/ChaseDurand/simple-plugin-gui,simple-plugin-gui,effect - does nothing,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
142,https://github.com/JacobACan/RGBA-Synth,RGBA-Synth,virtual instrument - synthesizer,virtual instrument,,No,C++,Reliability B,Passed,Yes,No,Header files,,No,"good first issue, enhancement",No,No,No
143,https://github.com/ReplicatAudio/TerminalVelocity,TerminalVelocity,effect - MIDI velocity tool,effect,,No,C++,Reliability B,Passed,Yes,No,Header files,,No,,No,No,No
145,https://github.com/StunnedByMusic/LatencySpy,LatencySpy,effect - latency,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
151,https://github.com/likelian/Repeator,Repeator,effect - noise,effect,,No,C++,Maintainability B,Passed,Yes,No,Header files,,No,"enhancement, bug",Yes,Yes,No
154,https://github.com/dragonsploder/Dynamo,Dynamo,effect - flager,effect,IPlug,No,C++,Reliability B,Passed,Yes,No,Header files,,No,,No,No,No
158,https://github.com/LensPlaysGames/Gainbit,Gainbit,effect - gainer,effect,,No,C++,cppcorectguideliness violated,Failed,Yes,No,Header files,,Yes,,No,No,No
159,https://github.com/Djaugo/EQ_Lite-Vst-Plugin-Win,EQ_Lite-Vst-Plugin-Win,effect - eq,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
160,https://github.com/tgalpha/ActivityTimer,ActivityTimer,effect - timer ,effect,,No,C++,,Passed,Yes,No,Header files,,No,bug,No,No,No
161,https://github.com/Mg32/SymmetricPingPongDelay,SymmetricPingPongDelay,effect - delay,effect,,No,Faust,,Passed,No,No,,stdfaust,No,,No,No,No
162,https://github.com/Husenap/VSTakoyaki,VSTakoyaki,effect - visualizator,effect,,No,C++,"Reliability D, Security Review E",Passed,Yes,No,Header files,,Yes,,No,No,No
163,https://github.com/flafflar/FaderVST,FaderVST,effect - fader,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
164,https://github.com/alxtim10/AngklungBeats,AngklungBeats,effect - simulates an instrument,effect,,No,C++,,Passed,Yes,No,Header files,,No,question,No,No,Yes
168,https://github.com/Speechrezz/SaturatorTest,SaturatorTest,effect - saturator,effect,,No,C++,Reliability C,Passed,Yes,No,Header files,,Yes,,No,No,No
171,https://github.com/AnClark/synthv1-universal,synthv1-universal,virtual instrument - synthesizer,virtual instrument,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
174,https://github.com/mmomentum/dopplerjuce,dopplerjuce,effect - spatializer ,effect,,No,Objective-C,"Reliability E, Maintainability E",Passed,Yes,No,Header files,,Yes,,No,No,No
176,https://github.com/essenbee/delay,delay,effect - delay,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
178,https://github.com/Cyril-Meyer/BitDepthReducer,BitDepthReducer,effect - depth,effect,,No,C++,Maintainability B,Passed,Yes,No,Header files,,No,bug,Yes,No,No
181,https://github.com/AnClark/padthv1-universal,padthv1-universal,virtual instrument - synthesizer,virtual instrument,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
184,https://github.com/Leonidius20/MegaSynth,MegaSynth,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
187,https://github.com/sadmemelord/QuasoCompressor,QuasoCompressor,effect - compressor,effect,,No,C++,Reliability D,Passed,Yes,No,Header files,,Yes,,No,No,No
188,https://github.com/werckme/werckmeister-vst,werckmeister-vst,effect ,effect,,No,C++,,Passed,Yes,Yes,Both,,No,,No,No,No
191,https://github.com/HabzdaBalint/VST_Synth,VST_Synth,virtual instrument - synthesizer,virtual instrument,,No,C++,"cppcorectguideliness violated, 6.3% duplications",Failed,Yes,No,Header files,,No,,No,No,No
192,https://github.com/insomnimus/drum-mapper,drum-mapper,effect - MIDI drums remapper,effect,,No,Rust,,Passed,Yes,No,Header files,Arc,No,,No,No,No
194,https://github.com/rijadhubana/RSynth-v1,RSynth-v1,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
195,https://github.com/emanuelemessina/ReaShader,ReaShader,effect - visualizator,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
196,https://github.com/GiorgosKoulouris/DeCoderPlugin,DeCoderPlugin,effect - decoder,effect,,Yes,C++,"cppcorectguideliness violated, 13.0% duplications",Failed,Yes,Yes,Both,,No,,No,No,No
303,https://github.com/asb2m10/dexed,dexed,virtual instrument - synthesizer,virtual instrument,,No,C++,"Reliability C, Maintainability B, Security Review E, 1.1% duplications",Failed,Yes,No,Header files,,Yes,"question, bug",No,Yes,Yes
314,https://github.com/michaelwillis/dragonfly-reverb,dragonfly-reverb,effect - reverb,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,"question, bug",No,Yes,Yes
316,https://github.com/monadgroup/axiom,axiom,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,"bug, compiler, question, backend, enhancement",No,Yes,Yes
321,https://github.com/DamRsn/NeuralNote,NeuralNote,effect - transformator,effect,,Yes,C++,,Passed,Yes,No,Header files,,No,"enhancement, bug",Yes,Yes,Yes
322,https://github.com/greatest-ape/OctaSine,OctaSine,virtual instrument - synthesizer,virtual instrument,,No,Rust,,Passed,Yes,No,Header files,octasine,No,"enhancement, bug question",Yes,Yes,Yes
323,https://github.com/leomccormack/SPARTA,SPARTA,"effect - spatial audio production, reproduction and visualisation",effect,Sparta Audio Framework,No,C++,,Passed,Yes,No,Header files,,Yes,"help wanted, question, bug",Yes,Yes,Yes
325,https://github.com/trummerschlunk/master_me,master_me,effect  - mastering,effect ,,No,C++,,Passed,Yes,No,Header files,"ebur128, stdfaust",Yes,"question, enhancement, bug, dsp, gui ",Yes,Yes,Yes
327,https://github.com/amsynth/amsynth,amsynth,virtual instrument - synthesizer,virtual instrument,,Yes,C++,Maintainability B,Passed,Yes,No,Header files,,No,"enhancement, question, bug",No,Yes,Yes
330,https://github.com/jpcima/ADLplug,ADLplug,virtual instrument - synthesizer,virtual instrument,,No,C++,"Reliability E, Security Review E, 15.3% duplications",Passed,Yes,No,Header files,,No,"question, bug",No,Yes,Yes
332,https://github.com/ffAudio/Frequalizer,Frequalizer,effect - eq,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,questions,No,Yes,Yes
336,https://github.com/zamaudio/zam-plugins,zam-plugins,effect,effect,,No,POV-Ray SDL,,Passed,Yes,No,Header files,,No,"bug, help wanted",No,Yes,Yes
340,https://github.com/wolf-plugins/wolf-shaper,wolf-shaper,effect ,effect,,No,C++,"Reliability C, Security Review E, 1.1% duplications",Passed,Yes,Yes,Both,,No,"enhancement, bug, question",No,Yes,Yes
341,https://github.com/sophiapoirier/destroyfx,destroyfx,effect,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,"question, bug",No,Yes,Yes
344,https://github.com/james34602/SpleeterRT,SpleeterRT,effect,effect,,Yes,C,,Passed,Yes,No,Header files,,Yes,"question, bug",Yes,No,Yes
345,https://github.com/dozius/DtBlkFx,DtBlkFx,effect,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,question,No,No,Yes
346,https://github.com/p-hlp/CTAGDRC,CTAGDRC,effect - compressor,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
352,https://github.com/artfwo/andes,andes,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,question,No,No,Yes
354,https://github.com/wolf-plugins/wolf-spectrum,wolf-spectrum,effect - spectogram,effect,,No,C++,"Reliability E, Security Review E, 1.5% duplications",Passed,Yes,Yes,Both,,No,"bug, new feature, enhancement, question, optimization",No,Yes,Yes
355,https://github.com/seven-phases/spectrum-analyzer,spectrum-analyzer,effect - analyzer,effect,,No,C++,,Passed,Yes,No,Header files,,No,bug,No,No,Yes
361,https://github.com/igorski/fogpad,fogpad,effect  - reverb,effect ,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
362,https://github.com/apohl79/GuitarAmp,GuitarAmp,effect  - amplificator for guitar,effect ,,No,C++,,Passed,Yes,No,Header files,,No,question,No,No,Yes
363,https://github.com/szkkng/simple-reverb,simple-reverb,effect  - reverb,effect ,,No,C++,Reliability B,Passed,Yes,No,Header files,,Yes,"enhancement, question, bug",Yes,Yes,Yes
364,https://github.com/igorski/regrader,regrader,effect - delay,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,"question, bug",No,Yes,Yes
365,https://github.com/cvde/RoomReverb,RoomReverb,effect  - reverb,effect ,,No,C++,,Passed,Yes,No,Header files,,Yes,bug,No,Yes,Yes
366,https://github.com/joshua-maros/audiobench,audiobench,virtual instrument - synthesizer,virtual instrument,,Yes,Rust,"Reliability C, Security D, Security Review E",Passed,No,No,,"argparse, pathlib, shutil, subprocess, sys, tempfile",No,"question, bug",No,Yes,Yes
369,https://github.com/t-sin/soyboy-sp.vst3,soyboy-sp.vst3,virtual instrument - synthesizer,virtual instrument,,Yes,Rust,,Passed,No,No,,"bincode, egui_extras, egui_glow, glutin, num, rand, serde, vst3_com, vst3_sys",No,,No,No,No
370,https://github.com/Iunusov/ShoutVST,ShoutVST,effect,effect,,Yes,C++,,Passed,Yes,Yes,Both,,No,bug,No,No,No
372,https://github.com/igorski/VSTSID,VSTSID,virtual instrument - synthesizer,virtual instrument,,Yes,C++,,Passed,Yes,Yes,Both,,Yes,"bug, enhancement",No,Yes,Yes
373,https://github.com/attilammagyar/js80p,js80p,virtual instrument - synthesizer,virtual instrument,,Yes,C++,,Passed,Yes,Yes,Both,,Yes,enhancement,No,No,Yes
374,https://github.com/kushview/roboverb,roboverb,effect - reverb,effect,,No,C++,,Passed,Yes,No,Header files,,No,"bug, enhancement",Yes,No,Yes
375,https://github.com/Archie3d/aeolus_plugin,aeolus_plugin,virtual instrument - synthesizer,virtual instrument,,No,C++,"Reliability E, Security Review E, 3.6% duplications, cppcorectguideliness violated",Failed,Yes,No,Header files,,No,"enhancement, question",No,No,Yes
377,https://github.com/QVbDev/quantumVerb,quantumVerb,effect - reverb,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
378,https://github.com/reales/OB-Xd,OB-Xd,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
380,https://github.com/MikeMorenoDSP/EP-MK1,EP-MK1,virtual instrument - piano,virtual instrument,,No,Shell,,Passed,Yes,No,Header files,,No,question,No,No,Yes
383,https://github.com/trackbout/ripchord,ripchord,effect - modify chord progressions,effect,,No,C++,"Security Review E, cppcorectguideliness violated",Failed,Yes,No,Header files,,Yes,question,No,No,No
388,https://github.com/aliefhooghe/Gammou,Gammou,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,Yes,bug,No,No,No
390,https://github.com/usdivad/Melodrumatic,Melodrumatic,effect  - pitcher ,effect ,,Yes,C++,"cppcorectguideliness violated, 6.3% duplications",Failed,Yes,No,Header files,,Yes,question,No,No,Yes
391,https://github.com/qbroquetas/IV-XDelay,IV-XDelay,effect  ,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,question,No,No,Yes
394,https://github.com/xunil-cloud/CloudReverb,CloudReverb,effect  - reverb,effect ,,Yes,C++,,Passed,Yes,No,Header files,,No,question,No,No,Yes
397,https://github.com/Mrugalla/NEL-19,NEL-19,effect  - pitcher ,effect ,,No,C++,"Reliability E, Security Review E, 6.9% duplications",Failed,Yes,No,Header files,,No,question,No,No,Yes
599,https://github.com/martinic/DrMixAISynth,DrMixAISynth,virtual instrument - synthesizer,virtual instrument,iPlug ,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
601,https://github.com/vroomai/vst,vst,effect - generate words to sounds,effect,,Yes,C++,Reliability C,Passed,Yes,No,Header files,,Yes,,No,No,No
602,https://github.com/Iunusov/LameVST,LameVST,effect,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,"question, bug",No,No,No
603,https://github.com/Squishy47/OpenVerb,OpenVerb,effect  - reverb,effect ,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
605,https://github.com/DBraun/TD-JUCE,TD-JUCE,virtual instrument and effect,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,Yes,question. bug,No,No,Yes
606,https://github.com/17cupsofcoffee/digidist,digidist,effect,effect,,No,Rust,,Passed,No,No,,dylib,No,,No,No,No
607,https://github.com/swesterfeld/spectmorph,spectmorph,effect  ,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,"question, bug",Yes,No,Yes
609,https://github.com/WeirdConstructor/Kickmess,Kickmess,virtual instrument - synthesizer,virtual instrument,,Yes,Rust,,Passed,Yes,No,Header files,kickmessvst,Yes,question,No,No,Yes
611,https://github.com/pongasoft/vst-sam-spl-64,vst-sam-spl-64,virtual instrument - sampler,virtual instrument,,Yes,C++,,Passed,Yes,No,Header files,,Yes,enhancement,No,No,Yes
615,https://github.com/SpotlightKid/ykchorus,ykchorus,effect - chorus,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
617,https://github.com/igorski/transformant,transformant,effect - filter,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,question,No,No,Yes
618,https://github.com/igorski/homecorrupter,homecorrupter,effect,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,question,No,No,Yes
619,https://github.com/datajake1999/OPL3GM_VSTi,OPL3GM_VSTi,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
622,https://github.com/unevens/Curvessor,Curvessor,effect,effect,,Yes,C++,"Maintainability B, Security Review E",Failed,Yes,No,Header files,,No,question,No,No,Yes
623,https://github.com/nimbletools/misstortion1,misstortion1,effect - distortion,effect,,No,C++,cppcorectguideliness violated,Failed,Yes,No,Header files,,No,question,Yes,No,Yes
624,https://github.com/linuxmao-org/VL1-emulator,VL1-emulator,virtual instrument - synthesizer,virtual instrument,,Yes,C++,,Passed,Yes,No,Header files,,Yes,question,No,No,No
626,https://github.com/retornz/ToneZ,ToneZ,effect,effect,Cabbage,No,Csound Document,,Passed,No,No,,,No,"question, bug, enhancement",No,Yes,Yes
630,https://github.com/abbysoft-team/Soompler,Soompler,virtual instrument - sampler,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
631,https://github.com/utokusa/BiquadLimiter,BiquadLimiter,effect - limiter,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
633,https://github.com/shaduzlabs/throb,throb,virtual instrument - sampler,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,question,No,No,No
635,https://github.com/morukutsu/LondonClockT,LondonClockT,virtual instrument - drums,virtual instrument,,No,C++,"Reliability D, Security Review E",Passed,Yes,No,Header files,,Yes,question,No,No,Yes
636,https://github.com/igorski/darvaza,darvaza,effect - gate,effect,,Yes,C++,,Passed,Yes,No,Header files,,No,question,No,No,No
637,https://github.com/SoundDevelopment/sound_meter,sound_meter,effect,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,question,No,No,Yes
638,https://github.com/FigBug/VirtualAnalog,VirtualAnalog,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
641,https://github.com/planaria/vv,vv,effect  - voice changer,effect ,,No,C++,,Passed,Yes,Yes,Both,,No,question,No,No,Yes
642,https://github.com/sdeleon28/IgnitionGuitarAmp,IgnitionGuitarAmp,effect  - guitar amplificator,effect ,,No,C++,2.0% duplications,Passed,Yes,No,Header files,,No,bug,No,No,No
643,https://github.com/SpotlightKid/midiomatic,midiomatic,effect,effect,,No,C++,,Passed,Yes,No,Header files,,No,bug,No,No,Yes
