,html_url,name,full_name,description,topics,created_at,updated_at,pushed_at,size,language,stargazers_count,subscribers_count,has_issues,has_downloads,has_discussions,forks_count,default_branch,private,open_issues_only,closed_issues_only,open_pull_requests,closed_pull_requests,commits_number,contributors_number,license.key,owner.type,Included?
21,https://github.com/psemiletov/drumlabooh,drumlabooh,psemiletov/drumlabooh,"LV2/VSTi drum machine that can use Hydrogen, SFZ, and other drumkit formats","['drum', 'drum-machine', 'drums', 'lv2-plugin', 'midi', 'vst3']",2023-08-07T16:38:36Z,2023-09-14T22:31:17Z,2023-09-14T18:43:18Z,54262,C++,7,0,TRUE,TRUE,TRUE,0,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
22,https://github.com/thezhe/D-lay,D-lay,thezhe/D-lay,A Distorted Delay based off of traditional analog BBD (Bucket Brigade Device) Circuits,"['analog', 'analogue', 'bbd', 'bucket-brigade-delay', 'delay', 'distortion', 'dynamic', 'echo', 'juce', 'mit-license', 'saturation', 'simulation', 'vst', 'vst-plugin', 'vst3', 'waveshaper']",2019-10-12T16:43:29Z,2023-01-28T07:21:58Z,2021-08-07T19:27:40Z,245,C++,7,0,TRUE,TRUE,FALSE,1,master,FALSE,0,0,0,0,0,0,mit,User,Yes
23,https://github.com/OlliV/DiaPro,DiaPro,OlliV/DiaPro,Dialog/Vocal Processor VST,"['compressor', 'de-esser', 'exciter', 'vst3']",2021-03-21T23:23:52Z,2022-09-20T07:48:17Z,2021-11-17T12:32:33Z,555,C++,7,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
24,https://github.com/njazz/cloudseed-juce,cloudseed-juce,njazz/cloudseed-juce,JUCE-based UI for CloudSeed VST plugin,"['audiounit', 'auv3', 'macos', 'reverb', 'vst3']",2021-05-06T15:22:30Z,2023-07-15T10:22:36Z,2023-06-18T08:00:32Z,46136,C++,7,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
25,https://github.com/xivilay/chord-recognition,chord-recognition,xivilay/chord-recognition,Detects chords from midi input,"['chord', 'chord-recognition', 'chords', 'juce', 'juce-react', 'midi', 'vst3']",2021-04-03T15:09:47Z,2023-04-29T01:22:32Z,2021-12-31T22:19:40Z,62,C++,6,0,TRUE,TRUE,FALSE,1,master,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
26,https://github.com/SimonZimmer/SEELE,SEELE,SimonZimmer/SEELE,A DAW plugin focused on heavy vocal processing,"['audio', 'cpp17', 'gtest', 'juce-framework', 'plugin', 'vst3']",2021-06-18T16:43:48Z,2023-04-29T01:22:28Z,2022-04-04T11:14:50Z,13750,C++,6,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,0,User,Yes
30,https://github.com/wolf-tickets/sound-and-outer-space,sound-and-outer-space,wolf-tickets/sound-and-outer-space,"These VST plug-ins will allow electronic/media artists, producers, musicians and composers to control an effect that emulates what an instrument or audio sample would sound like if it were played or heard on a another planet.","['effects', 'outer-space', 'signal-processing', 'sound-effects', 'sound-processing', 'vst', 'vst3']",2018-09-30T02:05:35Z,2023-04-29T02:02:54Z,2019-07-11T03:08:35Z,4331,C++,6,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
32,https://github.com/gregormcw/elev8,elev8,gregormcw/elev8,A simple binaural spatializer plug-in,"['audio', 'audio-plugin', 'cpp', 'dsp', 'juce', 'real-time', 'spatial-audio', 'vr', 'vst3', 'xr']",2021-05-08T21:45:44Z,2023-04-29T01:22:45Z,2021-05-10T01:50:07Z,22838,C++,6,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,0,User,Yes
33,https://github.com/MeijisIrlnd/Transfer,Transfer,MeijisIrlnd/Transfer,a jit compiled waveshaper,"['audio', 'audio-unit', 'distortion', 'macos', 'vst3', 'windows']",2021-06-25T02:03:13Z,2023-09-01T16:55:11Z,2023-01-27T05:36:08Z,1074,C++,6,0,TRUE,TRUE,FALSE,1,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
34,https://github.com/johanLsp/Milion,Milion,johanLsp/Milion,FM / Formant synthesizer (VST/AU/Standalone),"['juce', 'synthesizer', 'vst', 'vst3']",2017-12-05T20:57:45Z,2023-07-02T12:54:38Z,2020-09-12T22:56:56Z,6732,C++,6,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,0,User,Yes
37,https://github.com/essenbee/multifilter,multifilter,essenbee/multifilter,"A VST plugin for different types of digital audio filter, developed in C++ using JUCE.","['audio-effect', 'c-plus-plus', 'codebasealpha', 'juce-framework', 'streaming', 'vst3']",2019-06-26T12:18:47Z,2023-05-14T03:11:05Z,2019-07-01T21:33:07Z,63,C++,5,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,mit,User,Yes
39,https://github.com/mariusz96/blue-synthesiser,blue-synthesiser,mariusz96/blue-synthesiser,"My bachelor's thesis ""Sound synthesis based on audio samples as an VST3 instrument"" in C++ and JUCE","['audio', 'cplusplus', 'cpp', 'juce', 'plugin', 'vst3']",2020-04-15T09:07:35Z,2023-07-22T18:34:46Z,2021-12-03T18:16:10Z,65,C++,5,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,0,User,Yes
41,https://github.com/waddafunk/Oscilloscope,Oscilloscope,waddafunk/Oscilloscope,A simple resizable oscilloscope VST,"['android', 'android-app', 'android-audio', 'android-audio-analyzer', 'audio', 'audio-analysis', 'audio-visualizer', 'dsp', 'juce', 'juce-framework', 'juce-plugins', 'linux-vst', 'oscilloscope', 'plugin', 'vst', 'vst3']",2023-02-24T23:06:32Z,2023-08-05T23:28:38Z,2023-04-06T18:02:42Z,113584,C++,5,0,TRUE,TRUE,FALSE,2,master,FALSE,0,0,0,0,0,0,isc,User,Yes
43,https://github.com/Juanmalopezg/smooth-distortion,smooth-distortion,Juanmalopezg/smooth-distortion,Guitar distortion audio plugin made in C++ with the Juce framework. The DSP algorithm is based on a sigmoid function.,"['audio-processing', 'distortion', 'guitar', 'juce', 'music', 'vst3']",2020-04-08T21:46:52Z,2023-08-10T06:12:16Z,2022-11-26T07:05:51Z,576,C++,5,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,0,User,Yes
44,https://github.com/pongasoft/jamba-sample-gain,jamba-sample-gain,pongasoft/jamba-sample-gain,Documentation plugin for Jamba framework: a simple gain plugin for VST2/3,"['documentation', 'gain', 'plugin', 'volume', 'volume-plugin', 'vst', 'vst-plugin', 'vst2', 'vst3']",2018-08-25T17:13:08Z,2023-02-19T17:43:53Z,2023-05-25T18:37:53Z,344,C++,5,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,other,Organization,Yes
45,https://github.com/midilab/jc303,jc303,midilab/jc303,"A Free Roland TB-303 Plugin for Windows, MacOS and Linux: VST2, VST3, LV2 and AU. A Juce port of Open303 engine.","['au', 'audio', 'clone', 'linux', 'lv2', 'macos', 'plugin', 'roland', 'tb-303', 'vst3', 'windows']",2023-06-27T18:36:43Z,2023-09-14T12:20:46Z,2023-09-09T19:50:29Z,5323,C++,5,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
46,https://github.com/sainsay/AudioPlugins,AudioPlugins,sainsay/AudioPlugins,"collection of free, open-source audio plugins made or maintained by sainsay","['audio', 'audio-dsp', 'audio-plugin', 'audio-plugins', 'audioplugin', 'cplusplus', 'cpp', 'juce-framework', 'juce-plugins', 'vst3']",2021-08-11T08:52:03Z,2022-08-01T20:08:56Z,2022-04-08T07:12:53Z,43,C++,5,0,TRUE,TRUE,FALSE,2,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
47,https://github.com/TheAvalanche/JustAudioFX,JustAudioFX,TheAvalanche/JustAudioFX,Audio FX algorithms explained,"['audio-effect', 'audio-processing', 'delay', 'digital-signal-processing', 'dsp', 'vst', 'vst3']",2021-10-25T09:41:15Z,2022-10-12T09:07:04Z,2022-08-07T10:48:59Z,53,C++,5,0,TRUE,TRUE,FALSE,1,main,FALSE,0,0,0,0,0,0,0,User,Yes
48,https://github.com/xuan25/RXG100-RE,RXG100-RE,xuan25/RXG100-RE,VST 3 Plugin. An emulation of the Randall RG100 preamp.,"['preamp', 'vst', 'vst3']",2022-05-18T22:20:04Z,2023-02-10T14:02:34Z,2022-05-20T14:44:57Z,8128,C#,5,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,mit,User,Yes
49,https://github.com/KevinToodlepoot/MS-Exciter,MS-Exciter,KevinToodlepoot/MS-Exciter,A JUCE based stereo expander and harmonic exciter using Mid-Side processing and tube-based distortion for increased stereo width and harmonic richness.,"['audio', 'audio-unit', 'juce', 'plug-in', 'vst3']",2023-01-21T17:35:47Z,2023-04-29T04:57:22Z,2023-01-21T21:44:07Z,1696,C++,5,0,TRUE,TRUE,FALSE,3,main,FALSE,0,0,0,0,0,0,0,User,Yes
50,https://github.com/caleqw2/ParticleArtsPlugin,ParticleArtsPlugin,caleqw2/ParticleArtsPlugin,A VST3 plugin built with JUCE that turns input MIDI signals into bouncing particles that play notes when they collide for cool randomized music.,"['juce', 'music-composition', 'music-production', 'vst3']",2021-06-23T04:21:45Z,2023-04-29T05:04:34Z,2021-12-15T18:46:59Z,2120,C++,4,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,0,User,Yes
52,https://github.com/vihdzp/colimiter,colimiter,vihdzp/colimiter,An inverse limiter.,"['audio', 'audio-processing', 'clap', 'limiter', 'vst', 'vst3', 'vst3-plugin']",2023-06-17T09:06:58Z,2023-06-28T00:01:52Z,2023-06-21T03:10:07Z,39,Rust,4,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
55,https://github.com/dmultiply/Klide,Klide,dmultiply/Klide,Euclidean Rhythms (polyrhythms) drum machine audio VST3 plugin,"['audio-plugin', 'drum-machine', 'juce', 'juce-framework', 'juce-plugins', 'sampler', 'samplers', 'vst3', 'vst3-plugin']",2022-11-29T13:34:49Z,2023-06-25T15:39:20Z,2022-12-04T11:35:02Z,4419,C++,4,0,TRUE,TRUE,FALSE,1,main,FALSE,0,0,0,0,0,0,mit,User,Yes
56,https://github.com/KaiDrange/ECMapper,ECMapper,KaiDrange/ECMapper,"Two applications for the EigenLabs Eigenharp instruments. ""EigenCore"" reads data from the Eigenharps and then transmits that data via OSC. ""ECMapper"" receives the OSC data and converts it to midi as configured in the UI.","['eigenharp', 'eigenlite', 'juce-framework', 'midi', 'mpe', 'osc', 'vst3']",2021-04-19T06:32:24Z,2023-07-20T09:01:14Z,2023-07-21T12:52:07Z,28816,C++,4,0,TRUE,TRUE,FALSE,1,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
57,https://github.com/pongasoft/vst-ab-switch,vst-ab-switch,pongasoft/vst-ab-switch,A/B Audio Switch VST plugin,"['switch', 'vst', 'vst-plugin', 'vst2', 'vst3']",2018-03-10T19:03:11Z,2023-08-18T11:34:59Z,2021-01-04T17:57:21Z,2620,C++,4,0,TRUE,TRUE,FALSE,2,master,FALSE,0,0,0,0,0,0,other,Organization,Yes
59,https://github.com/bartoszOsn/FuzzTeeth,FuzzTeeth,bartoszOsn/FuzzTeeth,A vst plugin to distort audio with waveshaper using teeth like function,"['distortion', 'juce-framework', 'vst3']",2020-09-22T12:46:25Z,2023-04-29T05:16:52Z,2020-09-23T12:29:52Z,108,C++,4,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,0,User,Yes
60,https://github.com/Dimethoxy/Plasma,Plasma,Dimethoxy/Plasma,Asymmetrical Distortion VST,"['audio', 'audio-effect', 'audio-plugin', 'audio-processing', 'distortion', 'distortion-effects', 'vst3']",2021-11-21T05:03:17Z,2023-09-14T10:19:21Z,2023-08-26T19:15:21Z,22931,C++,4,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,0,User,Yes
62,https://github.com/pongasoft/vst-vac-6v,vst-vac-6v,pongasoft/vst-vac-6v,VST (2 & 3) plugin to analyze and control the peak volume of a signal,"['gain', 'knobs', 'lcd-display', 'plugin', 'volume', 'volume-plugin', 'vst', 'vst-plugin', 'vst2', 'vst3']",2018-07-17T13:21:28Z,2022-05-03T06:18:08Z,2021-01-04T19:14:06Z,12618,C++,3,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,other,Organization,Yes
63,https://github.com/DoomyDwyer/ASPiKProjects,ASPiKProjects,DoomyDwyer/ASPiKProjects,"Audio plugins created using the ASPiK framework. VST3s available for download for Windows & MacOS, plus Audio Units (MacOS only)","['au', 'audio', 'macos', 'plugin', 'vst3', 'win64']",2021-07-09T20:43:48Z,2022-12-31T18:49:29Z,2023-04-22T14:53:07Z,30912,C++,3,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
64,https://github.com/Do-sth-sharp/libDMDA,libDMDA,Do-sth-sharp/libDMDA,Directly Musical Data Access.,"['juce', 'juce-framework', 'juce-plugin', 'juce-plugins', 'midi', 'midi-api', 'midi-files', 'midi-messages', 'vst3', 'vst3-host', 'vst3-plugin', 'vst3-plugins']",2023-07-28T14:24:30Z,2023-08-23T06:25:49Z,2023-08-23T07:47:19Z,20,C++,3,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,mit,Organization,Yes
66,https://github.com/polimi-ispl/ebeamer,ebeamer,polimi-ispl/ebeamer,Beamforming VST3 plugin for eSticks,"['beamforming', 'multichannel-microphone-arrays', 'vst3']",2019-03-09T09:10:33Z,2022-02-19T21:43:13Z,2022-02-19T21:49:55Z,22901,C++,3,0,TRUE,TRUE,FALSE,1,master,FALSE,0,0,0,0,0,0,agpl-3.0,Organization,Yes
68,https://github.com/reillypascal/RSAlgorithmicVerb,RSAlgorithmicVerb,reillypascal/RSAlgorithmicVerb,Algorithmic reverb plugin in JUCE with multiple algorithms (including emulations of classic hardware) and more to come.,"['au', 'au-plugin', 'emulation', 'juce', 'juce-plugins', 'music', 'reverb', 'reverberator', 'vst', 'vst3']",2023-05-29T01:36:51Z,2023-08-06T00:41:40Z,2023-06-13T23:15:41Z,158,C++,3,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
69,https://github.com/p-o-l-e/spiro,spiro,p-o-l-e/spiro,Semi-modular VST / Standalone synthesizer,"['chaos', 'juce', 'juce-framework', 'linux', 'linux-vst', 'plugin', 'synthesizer', 'vst', 'vst3']",2022-06-14T22:44:34Z,2023-09-14T10:19:39Z,2023-08-05T10:51:24Z,43566,C++,3,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
70,https://github.com/JoergBitzer/JadeSpectrogram,JadeSpectrogram,JoergBitzer/JadeSpectrogram,A spectrogram VST Plugin,"['juce', 'spectrogram', 'vst3']",2021-03-06T18:10:04Z,2022-05-15T13:58:18Z,2021-07-02T20:25:58Z,612,C++,3,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,mit,User,Yes
72,https://github.com/MichaelBokatius/BlissBox,BlissBox,MichaelBokatius/BlissBox,A guitar pedal VST plug-in made with the JUCE framework.,"['audio', 'gui', 'guitar', 'juce', 'juce-framework', 'plugin', 'vst3']",2022-03-29T20:51:13Z,2023-08-19T11:30:49Z,2022-04-18T10:46:22Z,53720,C++,3,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,0,User,Yes
73,https://github.com/FilipeChagasDev/FClipper-plugin,FClipper-plugin,FilipeChagasDev/FClipper-plugin,A simple clipping audio plugin,"['audio', 'audio-processing', 'audio-programming', 'cplusplus', 'juce', 'mixing', 'music', 'plugin', 'vst', 'vst-plugin', 'vst3']",2022-01-02T02:36:38Z,2023-03-09T08:54:17Z,2022-01-05T03:19:15Z,5216,C++,3,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
76,https://github.com/adammurdocknh/YAMS,YAMS,adammurdocknh/YAMS,An audio plugin for a 30 second master. This plugin was submitted to the Audio Engineering Societyâ€™s Saul Walker student design competition in May 2021. Developed by Adam Murdock and William Holk for a joint submission.,"['audio-plugin', 'dsp', 'vst3']",2021-04-08T07:17:45Z,2023-05-26T08:36:14Z,2022-01-22T13:26:56Z,436,C++,3,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,mit,User,Yes
77,https://github.com/RickBn/reDroidFlux,reDroidFlux,RickBn/reDroidFlux,"All-in-one midi controlled ring modulator and bitcrusher VST3 plug-in, developed using the JUCE framework.","['audioplugin', 'juce-framework', 'vst3']",2021-09-06T07:39:33Z,2023-05-26T08:38:03Z,2023-05-24T09:08:09Z,28,C++,3,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,mit,User,Yes
78,https://github.com/reillypascal/RSBrokenMedia,RSBrokenMedia,reillypascal/RSBrokenMedia,"Stereo glitch plugin in JUCE with tape FX, CD skips, data errors, lo-fi codecs, and more.","['au', 'audiounit', 'codec', 'electronic-music', 'experimental', 'glitch', 'juce', 'juce-plugins', 'music', 'noise-music', 'plugin', 'retroaudio', 'sound-design', 'stereo', 'vst', 'vst3']",2023-06-12T01:43:02Z,2023-08-29T07:01:23Z,2023-07-29T02:21:12Z,239,C,3,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
79,https://github.com/mpusch88/Externalizer,Externalizer,mpusch88/Externalizer,"Externalizer is a VST3 audio plugin developed using the JUCE framework, designed to enable routing audio to and from external hardware processors within DAWs and other audio programs. The goal of the project is to provide latency compensation, dry/wet control, and gain staging.","['ableton-live', 'audio-effects', 'audio-hardware', 'audio-processing', 'daw', 'effects', 'external-audio-effects', 'virtualdj', 'vst', 'vst3']",2023-04-09T17:23:53Z,2023-07-19T13:40:59Z,2023-05-29T20:56:19Z,180,C++,3,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,mit,User,Yes
82,https://github.com/varlen/randstepfilter,randstepfilter,varlen/randstepfilter,"My first VST plugin. Created this project to refresh my C++ skills, recall some signal processing techniques and learn VST plugin development with iPlug2 framework","['audio', 'iplug2', 'vst3', 'vst3-plugin']",2021-06-10T04:13:19Z,2022-05-03T06:18:55Z,2021-06-10T04:31:06Z,470,Python,2,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,0,User,Yes
83,https://github.com/Emmet-Hayes/HayesPlugins,HayesPlugins,Emmet-Hayes/HayesPlugins,"A free and open-source bundle of 8 plug-ins, containing an EQ, Compressor, Distortion, PitchShifter, a basic Delay, a tape Delay, an algorithmic Reverb, and a convolution Reverb.","['audio-effect', 'audio-processing', 'plugins', 'vst3', 'vst3-plugin']",2023-07-21T22:12:43Z,2023-09-13T00:14:37Z,2023-09-10T05:08:16Z,31898,C++,2,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,0,User,Yes
84,https://github.com/hansen-audio/gain-automation-plugin,gain-automation-plugin,hansen-audio/gain-automation-plugin,Simple VST 3 gain effect with sample accurate automation capabilities.,"['audio', 'audio-processing', 'gain', 'plug', 'vst3', 'vst3-plugin', 'vst3-plugins']",2021-02-16T20:17:04Z,2022-05-03T06:19:02Z,2021-05-14T14:45:22Z,3765,C++,2,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,gpl-3.0,Organization,Yes
85,https://github.com/Speechrezz/VibratoPlugin,VibratoPlugin,Speechrezz/VibratoPlugin,A simple vibrato effects plugin.,"['daw', 'juce', 'juce-framework', 'music', 'plugin', 'vst', 'vst-plugin', 'vst3', 'vst3-plugins']",2022-05-26T18:34:05Z,2022-10-01T03:01:29Z,2022-05-28T18:38:14Z,39,C++,2,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,mit,User,Yes
87,https://github.com/pardinensis/useless_reverb,useless_reverb,pardinensis/useless_reverb,A reverb VST3 plugin based on Geraint Luff's ADC21 talk,"['digital-signal-processing', 'juce', 'reverb', 'vst3']",2022-07-02T16:27:55Z,2023-02-24T23:32:11Z,2022-09-18T23:56:02Z,95,C++,2,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,0,User,Yes
88,https://github.com/sharki13/stereoknob,stereoknob,sharki13/stereoknob,Plugin to modify stereo proportions of audio signal,"['audio', 'audio-effect', 'juce', 'plugin', 'vst', 'vst3']",2020-04-27T19:11:45Z,2022-07-26T19:38:12Z,2020-05-11T22:37:45Z,67,C++,2,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
89,https://github.com/samuelebh/Magic-Chorus,Magic-Chorus,samuelebh/Magic-Chorus,"Implementation of a multi-voice chorus audio plugin, using the framework JUCE.","['audio-effects', 'audio-processing', 'cplusplus', 'delay-line', 'juce-framework', 'signal-processing', 'vst3', 'vsts']",2020-05-14T17:00:22Z,2022-09-28T02:03:39Z,2021-08-28T22:01:08Z,6493,C++,2,0,TRUE,TRUE,FALSE,2,master,FALSE,0,0,0,0,0,0,0,User,Yes
91,https://github.com/hsetlik/Octane,Octane,hsetlik/Octane,Wavetable Synthesizer plugin built on JUCE and C++,"['audio', 'audio-unit', 'cpp', 'juce', 'plugin', 'synthesizer', 'vst3', 'wavetable-synthesizer']",2021-04-19T21:20:02Z,2023-04-29T05:33:52Z,2022-08-21T15:13:04Z,339,C++,2,0,TRUE,TRUE,FALSE,2,master,FALSE,0,0,0,0,0,0,0,User,Yes
92,https://github.com/p4thie/esc,esc,p4thie/esc,Envelope-based SideChain ducker,"['clap', 'vst3']",2023-05-06T03:01:24Z,2023-05-30T09:01:45Z,2023-09-12T05:59:31Z,396,Rust,2,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
97,https://github.com/theuser27/Complex,Complex,theuser27/Complex,Multi-lane Spectral Effects Suite,"['audio-effect', 'audio-processing', 'plugin', 'vst3']",2022-06-16T11:02:07Z,2023-09-07T17:07:47Z,2023-08-23T22:42:06Z,2715,C++,2,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
99,https://github.com/ashokfernandez/DR-Filter,DR-Filter,ashokfernandez/DR-Filter,DJ Filter Audio Plugin,"['audio', 'audio-unit', 'cpp', 'dsp', 'juce', 'vst3']",2023-05-05T15:50:40Z,2023-05-29T17:57:10Z,2023-05-27T22:09:15Z,618,C++,2,0,TRUE,TRUE,FALSE,0,main,FALSE,0,0,0,0,0,0,0,User,Yes
